author,tags,title,url
Patrick Gathara,"United States,Humanitarian crises,Africa,Media",What makes a 'humanitarian crisis'?,https://www.aljazeera.com/amp/indepth/opinion/humanitarian-crisis-200629132829381.html
Akiva Eldar,"Israel,Palestine,Middle East",Annexation in Palestine and Netanyahu's calculus ,https://www.aljazeera.com/amp/indepth/opinion/annexation-palestine-netanyahu-calculus-200626104214700.html
"Ida Sawyer,Belkis Wille","Black Lives Matter protests,United States",The US commits the same abuses it condemns abroad,https://www.aljazeera.com/amp/indepth/opinion/commits-abuses-condemns-george-floyd-police-brutality-200623111948148.html
Fabrizio Hochschild,"United Nations,Internet,Coronavirus pandemic,Human Rights",We have a duty to build a better post-pandemic digital world,https://www.aljazeera.com/amp/indepth/opinion/duty-build-post-pandemic-digital-world-200625130258273.html
Ruwa Shah,"India,Kashmir,Coronavirus pandemic,Asia",I fear for my father imprisoned in pandemic-stricken India,https://www.aljazeera.com/amp/indepth/opinion/fear-father-imprisoned-pandemic-stricken-india-200624091448725.html
Ajai Shukla ,"Asia,China,India",India-China tensions: It is decision time for New Delhi,https://www.aljazeera.com/amp/indepth/opinion/india-china-tensions-decision-time-delhi-200628152747336.html
Zhiqun Zhu,"India,China,Asia,United States","China is so fixed on the US, it may lose India",https://www.aljazeera.com/amp/indepth/opinion/india-china-tensions-time-beijing-pivot-asia-200627103442232.html
Matt Mackowiak,"US & Canada,Donald Trump,United States","For re-election, Trump is down, but not out",https://www.aljazeera.com/amp/indepth/opinion/election-trump-200629164153578.html
Marwan Bishara,"Palestine,Israel,Middle East",Hubris: Israel's endgame in Palestine,https://www.aljazeera.com/amp/indepth/opinion/hubris-israel-endgame-palestine-200630085817780.html
Shaheen Nassar ,"George Floyd protests,United States,Racism,Islamophobia",The 'war on terror' is a noose around Black America's neck,https://www.aljazeera.com/amp/indepth/opinion/war-terror-noose-black-america-neck-200625121658393.html
Michelle Chikaonda,"Racism,South Africa,Black Lives Matter protests,United States,Africa",Anti-Blackness is everywhere,https://www.aljazeera.com/amp/indepth/opinion/anti-blackness-200619071556063.html
Roxane Farmanfarmaian,"Iran,US-Iran escalation,Donald Trump,Middle East,Hassan Rouhani",Why would Iran issue an arrest warrant for Trump?,https://www.aljazeera.com/amp/indepth/opinion/iran-issue-arrest-warrant-trump-200702110022375.html
Brandee Butler,"European Union,Racism,Denmark,Coronavirus pandemic,United Kingdom","For the EU to effectively address racial injustice, we need data",https://www.aljazeera.com/amp/indepth/opinion/eu-effectively-address-racial-injustice-data-200628102654812.html
Yannick Giovanni Marshall,"Black Lives Matter protests,United States,US & Canada,Police",To loot a revolution,https://www.aljazeera.com/amp/indepth/opinion/loot-revolution-200624162211727.html
Ayesha Siddiqa ,"Pakistan,Coronavirus pandemic,Military,Asia",Why is Pakistan spending so much money on defence amid COVID-19?,https://www.aljazeera.com/amp/indepth/opinion/pakistan-spending-money-defence-covid-19-200625115702999.html
Samuel Etienne ,"Racism,United Kingdom,Military,Black Lives Matter protests,Europe","The British invented racism, the Americans perfected it",https://www.aljazeera.com/amp/indepth/opinion/british-invented-racism-americans-perfected-200618164254147.html
"Mohammed Elnaiem,Mehmet Dosemeci","United States,Black Lives Matter protests,US & Canada",Black autonomy and lessons from the Black Power struggle,https://www.aljazeera.com/amp/indepth/opinion/black-autonomy-lessons-black-power-struggle-200621115758908.html
Marwan Bishara,"Donald Trump,United States,US & Canada",Trump is losing it,https://www.aljazeera.com/amp/indepth/opinion/trump-losing-200622100832289.html
